name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Alibaba Cloud,,https://www.alibabacloud.com/,logos/503598b55e4adda6ba24da11782cca8a789d195e22e2a7bc9f8670a467667ee9.svg,,,,,,,,,Alibaba's cloud computing platform,,,,,,,,,,,,Cloud Infrastructure,Cloud Providers,,,,,,,,,,,,,,,,,,,,,,,,
Ansible,,https://www.ansible.com/,logos/be5a69409499bb0cc29d5af3dbeee3f462e14fa8d06dfb579a8f70a9b25abe4c.svg,,,,,,,,,Automation for cloud provisioning and configuration,,,,,,,,,,,,Configuration Management,Infrastructure Configuration,,,,,,,,,,,,,,,,,,,,,,,,
Apache Kafka,,https://kafka.apache.org/,logos/ed883d2c596a13264936ed37084a0da9de00727c5af973f205124d9630b1c86c.svg,,,,,,,,,Distributed streaming platform,,,,,,,,,,,,Cloud Infrastructure,Software,,,,,,,,,,,,,,,,,,,,,,,,
Atlantis,,https://www.runatlantis.io/,logos/2471fae33e67f51b392bbd8e25824edd5866c86ad338eaf9ae05941e1930dd67.svg,,,,,,,,,Terraform Pull Request Automation,,,,,,,,,,,,DevOps Tools,CI/CD & Automation,,,,,,,,,,,,,,,,,,,,,,,,
AWS,,https://aws.amazon.com/,logos/62d9cff63c5dfeb8a50d0ad7989ebd7356b9e3a13af04abd5e487b91d24bc52e.svg,,,,,,,,,Amazon Web Services cloud platform,,,,,,,,,,,,Cloud Infrastructure,Cloud Providers,,,,,,,,,,,,,,,,,,,,,,,,
AWS Cloud Development Kit,,https://aws.amazon.com/cdk/,logos/3e02163deb69d944b3abd7f8d3443a50af780e60108636346df27a37a3df7a8c.svg,,,,,,,,,Infrastructure as Code for AWS,,,,,,,,,,,,IaC Platforms & Tools,Tools,,,,,,,,,,,,,,,,,,,,,,,,
AWS CloudFormation,,https://aws.amazon.com/cloudformation/,logos/14d107fc740327e96f44f7cecf8a0d07f75b246e975f3c3e7dd2c7c36dba6d57.svg,,,,,,,,,Infrastructure as Code for AWS,,,,,,,,,,,,IaC Platforms & Tools,Infrastructure Management,,,,,,,,,,,,,,,,,,,,,,,,
AWS CodePipeline,,https://aws.amazon.com/codepipeline/,logos/6a808ef878ac6b7c46452fa703e9fb78816708836dd2b9a33c922fe7ab18b796.svg,,,,,,,,,Continuous delivery service for AWS,,,,,,,,,,,,DevOps Tools,CI/CD & Automation,,,,,,,,,,,,,,,,,,,,,,,,
AWS Config,,https://aws.amazon.com/config/,logos/e1f256c895aa6be206d54fd459ff0d999e33a6fb019572d06c89d3998707961f.svg,,,,,,,,,AWS resource compliance and audit,,,,,,,,,,,,Security Tools,Policy & Compliance,,,,,,,,,,,,,,,,,,,,,,,,
AWS Secrets Manager,,https://aws.amazon.com/secrets-manager/,logos/ac4b1209576f5f24c3d1d5f8afc4e7171a6ef41e2da77ea0fd707a5fafbb6fcd.svg,,,,,,,,,"Rotate, manage, and retrieve secrets",,,,,,,,,,,,Security Tools,Secret Management,,,,,,,,,,,,,,,,,,,,,,,,
Azure DevOps,,https://azure.microsoft.com/en-us/services/devops/,logos/352e7e664450dc0c94f2adf266738741d3d1392bc33a27a69889962513283838.svg,,,,,,,,,Enterprise development collaboration platform,,,,,,,,,,,,DevOps Tools,CI/CD & Automation,,,,,,,,,,,,,,,,,,,,,,,,
Azure Key Vault,,https://azure.microsoft.com/products/key-vault,logos/52ff2bf545ed4584b7c61e5c29b00be1a84504217590819c8cb218adf663beef.svg,,,,,,,,,Cloud key management solution,,,,,,,,,,,,Security Tools,Secret Management,,,,,,,,,,,,,,,,,,,,,,,,
